Station ID, Station Name, First Year, Last Year, Year Range, % Complete, MSL Trends (mm/yr), +/- 95% CI (mm/yr) , MSL Trend (ft/century), +/- 95% CI (ft/century), Latitude, Longitude
550-005,"Lumut, Malaysia",1984,2018,35,96,2.89,1.27,0.95,0.42,4.24,100.6133
550-007,"Pelabuhan Kelang, Malaysia",1984,2018,35,90,2.51,1.38,0.82,0.45,3.05,101.3583
550-009,"Tanjung Keling, Malaysia",1984,2018,35,96,2.53,1.19,0.83,0.39,2.215,102.1533
550-014,"Tanjung Gelang, Malaysia",1984,2018,35,99,3.34,0.47,1.1,0.15,3.975,103.43
550-017,"Cendering, Malaysia",1984,2018,35,91,3.45,0.59,1.13,0.19,5.265,103.1867
555-011,"Raffles Light House, Singapore",1973,2022,50,90,2.24,0.64,0.74,0.21,1.1667,103.75
555-021,"Sultan Shoal, Singapore",1969,2022,54,92,3.22,0.53,1.05,0.17,1.2333,103.65
555-051,"Sembawang, Singapore",1960,2022,63,83,1.74,0.39,0.57,0.13,1.4667,103.8333
580-012,"Bitung II, Indonesia",1986,2018,33,51,4.25,3.25,1.39,1.07,1.4333,125.2
600-021,"Ko Lak, Thailand",1940,2021,82,97,1.29,0.31,0.42,0.1,11.8,99.8167
600-041,"Fort Phrachula Chomklao, Thailand",1965,2018,54,95,16.87,0.87,5.53,0.29,13.55,100.5833
600-051,"Ko Sichang, Thailand",1940,2002,63,96,0.92,0.36,0.3,0.12,13.15,100.8167
605-021,"Vung Tau, Vietnam",1979,2013,35,99,3.7,0.96,1.21,0.31,10.3333,107.0667
605-041,"Quinhon, Vietnam",1977,2013,37,99,0.2,1.17,0.06,0.38,13.7667,109.25
605-051,"Danang, Vietnam",1978,2013,36,100,3.17,0.73,1.04,0.24,16.1,108.2167
605-081,"Hondau, Vietnam",1957,2013,57,100,2.05,0.46,0.67,0.15,20.6667,106.8
609-001,"Macau, China",1925,1985,61,98,0.26,0.5,0.08,0.16,22.2,113.55
610-002,"Zhapo, China",1959,2022,64,99,2.5,0.34,0.82,0.11,21.5833,111.8333
610-005,"Xiamen, China",1954,2004,51,100,1.12,0.55,0.37,0.18,24.45,118.0667
610-016,"Kanmen, China",1959,2022,64,98,2.57,0.3,0.84,0.1,28.0833,121.2833
610-032,"Lusi, China",1961,2020,60,84,5.16,0.43,1.69,0.14,32.1333,121.6167
610-039,"Qinhuangdao, China",1950,1994,45,99,-0.04,0.62,-0.01,0.2,39.9,119.6
610-044,"Dalian, China",1954,2022,69,82,2.75,0.38,0.9,0.13,38.8667,121.6833
611-010,"Quarry Bay, Hong Kong",1929,2022,94,79,1.62,0.39,0.53,0.13,22.2911,114.2133
611-014,"Tai Po Kau, China",1963,2022,60,95,3.32,0.51,1.09,0.17,22.4425,114.1839
611-017,"Tsim Bei Tsui, China",1974,2022,49,85,1.58,1.01,0.52,0.33,22.4872,114.0142
612-002,"Keelung II, Taiwan",1956,1995,40,100,0.45,0.77,0.15,0.25,25.1333,121.7333
620-011,"Incheon, Korea",1960,2022,63,92,1.69,0.46,0.55,0.15,37.4519,126.5922
620-027,"Mokpo, South Korea",1960,2022,63,99,3.83,0.41,1.26,0.13,34.7833,126.4
620-033,"Jeju, South Korea",1964,2022,59,99,5.12,0.31,1.68,0.1,33.5167,126.5333
620-036,"Yeosu, Korea",1966,2022,57,98,1.62,0.31,0.53,0.1,34.7472,127.7656
620-046,"Busan, South Korea",1960,2022,63,100,2.34,0.26,0.77,0.08,35.1,129.0333
620-051,"Ulsan, South Korea",1962,2022,61,98,1.52,0.4,0.5,0.13,35.5167,129.3833
620-061,"Mugho, South Korea",1965,2022,58,98,1.54,0.34,0.51,0.11,37.55,129.1167
625-011,"Wonsan, North Korea",1962,1992,31,100,1.28,0.81,0.42,0.27,39.1667,127.45
630-001,"Yuzhno Kurilsk, Russia",1948,1994,47,97,2.74,0.62,0.9,0.2,44.0167,145.8667
